country_name, year 2020,gross_reproduction_rate 2020,,,country_name,year 2021,gross_reproduction_rate  2021,,Max GRR 2020,Max GRR 2021
Afghanistan,2020,2.3512,,,Afghanistan,2021,2.3024,,2.9951,2.9281
Algeria,2020,1.2596,,,Algeria,2021,1.2402,,Niger,Niger
Angola,2020,2.9368,,,Angola,2021,2.9042,,Min GRR 2020,Min GRR 2021
American Samoa,2020,1.1403,,,American Samoa,2021,1.1055,,1.0038,1.0068
Argentina,2020,1.0697,,,Argentina,2021,1.0629,,France,Jamaica
Botswana,2020,1.2069,,,Botswana,2021,1.1931,,,Morroco
Bangladesh,2020,1.0343,,,Bangladesh,2021,1.0294,,,
Belize,2020,1.317,,,Belize,2021,1.2985,,,
Bolivia,2020,1.2098,,,Bolivia,2021,1.1932,,,
Burma,2020,1.0049,,,Buma,2021,1.0149,,,
Benin,2020,2.1902,,,Benin,2021,2.1483,,,
Solomon Islands,2020,1.4488,,,Solomon Islands,2021,1.4243,,,
Burundi,2020,2.8719,,,Burundi,2021,2.8443,,,
Cambodia,2020,1.1687,,,Cambodia,2021,1.155,,,
Chad,2020,2.7843,,,Chad,2021,2.7304,,,
Congo (Brazzaville),2020,2.1921,,,Congo (Brazzaville),2021,2.1704,,,
Congo (Kinshasa),2020,1.9655,,,Congo (Kinshasa),2021,1.9103,,,
Cameroon,2020,2.197,,,Cameroon,2021,2.1675,,,
Comoros,2020,1.4532,,,Comoros,2021,1.4108,,,
Northern Mariana Islands,2020,1.2457,,,Northern Mariana Islands,2021,1.2299,,,
Central African Republic,2020,2.0394,,,Central African Republic,2021,2.0148,,,
Cabo Verde,2020,1.064,,,Cabo Verde,2021,1.0561,,,
Cook Islands,2020,1.0319,,,Cook Islands,2021,1.025,,,
Djibouti,2020,1.0788,,,Djibouti,2021,1.0688,,,
Dominican Republic,2020,1.098,,,Dominican Republic,2021,1.0912,,,
Ecuador,2020,1.0195,,,Ecuador,2021,1.0078,,,
Egypt,2020,1.5938,,,Egypt,2021,1.5666,,,
Equatorial Guinea,2020,2.0246,,,Equatorial Guinea,2021,1.9813,,,
Eritrea,2020,1.8374,,,Eritrea,2021,1.8,,,
Ethiopia,2020,2.3399,,,Ethiopia,2021,2.3005,,,
Fiji,2020,1.1268,,,Fiji,2021,1.1141,,,
"Micronesia, Federated States of",2020,1.1172,,,"Micronesia, Federated States of",2021,1.1056,,,
Faroe Islands,2020,1.1173,,,Faroe Islands,2021,1.1123,,,
France,2020,1.0038,,,France,2021,1.0148,,,
"Gambia, The",2020,1.5812,,,"Gambia, The",2021,1.542,,,
Gabon,2020,1.6798,,,Gabon,2021,1.6552,,,
Ghana,2020,1.9212,,,Ghana,2021,1.9034,,,
Guam,2020,1.3731,,,Guam,2021,1.3594,,,
Guatemala,2020,1.3268,,,Guatemala,2021,1.3024,,,
Guinea,2020,2.4236,,,Guinea,2021,2.4069,,,
