country_name,year (2020),sex_ratio_at_birth (2020), year (2021), sex_ratio_at_birth (2021)
Afghanistan,2020,1.05,2021,1.05
Albania,2020,1.08,2021,1.076
Algeria,2020,1.0524,2021,1.0524
American Samoa,2020,1.0609,2021,1.0605
Andorra,2020,1.0657,2021,1.0664
Angola,2020,1.03,2021,1.03
Anguilla,2020,1.0275,2021,1.0273
Antigua and Barbuda,2020,1.0501,2021,1.0497
Argentina,2020,1.066,2021,1.066
Armenia,2020,1.0954,2021,1.0883
Aruba,2020,1.021,2021,1.0196
Australia,2020,1.055,2021,1.055
Austria,2020,1.053,2021,1.053
Azerbaijan,2020,1.059,2021,1.059
"Bahamas, The",2020,1.0305,2021,1.0298
Bahrain,2020,1.0271,2021,1.0271
Bangladesh,2020,1.04,2021,1.04
Barbados,2020,1.0121,2021,1.0116
Belarus,2020,1.06,2021,1.06
Belgium,2020,1.049,2021,1.049
Belize,2020,1.0502,2021,1.0501
Benin,2020,1.05,2021,1.05
Bermuda,2020,1.0175,2021,1.0175
Bhutan,2020,1.05,2021,1.0499
Bolivia,2020,1.05,2021,1.05
Bosnia and Herzegovina,2020,1.072,2021,1.072
Botswana,2020,1.03,2021,1.03
Brazil,2020,1.05,2021,1.05
Brunei,2020,1.047,2021,1.047
Bulgaria,2020,1.062,2021,1.062
Burkina Faso,2020,1.03,2021,1.03
Burma,2020,1.06,2021,1.06
Burundi,2020,1.03,2021,1.03
Cabo Verde,2020,1.03,2021,1.0301
Cambodia,2020,1.045,2021,1.045
Cameroon,2020,1.03,2021,1.03
Canada,2020,1.0563,2021,1.0563
Cayman Islands,2020,1.0165,2021,1.0163
Central African Republic,2020,1.03,2021,1.03
Chad,2020,1.04,2021,1.04
Chile,2020,1.0425,2021,1.0425
China,2020,1.113,2021,1.1064
Colombia,2020,1.06,2021,1.06
Comoros,2020,1.03,2021,1.03
Congo (Brazzaville),2020,1.03,2021,1.03
Congo (Kinshasa),2020,1.03,2021,1.03
Cook Islands,2020,1.0545,2021,1.0566
Costa Rica,2020,1.05,2021,1.05
Cote d'Ivoire,2020,1.03,2021,1.03
Croatia,2020,1.0616,2021,1.0615
Cuba,2020,1.06,2021,1.06
Curacao,2020,1.0505,2021,1.0497
Cyprus,2020,1.0501,2021,1.05
Czechia,2020,1.0549,2021,1.0549
Denmark,2020,1.0653,2021,1.0653
Djibouti,2020,1.0299,2021,1.03
Dominica,2020,1.0495,2021,1.0484
Dominican Republic,2020,1.04,2021,1.04
Ecuador,2020,1.05,2021,1.05
Egypt,2020,1.0643,2021,1.0643
El Salvador,2020,1.05,2021,1.05
Equatorial Guinea,2020,1.03,2021,1.03
Eritrea,2020,1.03,2021,1.03
Estonia,2020,1.0478,2021,1.0478
Eswatini,2020,1.03,2021,1.03
Ethiopia,2020,1.03,2021,1.03
Faroe Islands,2020,1.0701,2021,1.0691
Fiji,2020,1.05,2021,1.05
Finland,2020,1.046,2021,1.046
France,2020,1.0478,2021,1.0478
French Polynesia,2020,1.0502,2021,1.0502
Gabon,2020,1.03,2021,1.03
"Gambia, The",2020,1.03,2021,1.03
Gaza Strip,2020,1.06,2021,1.06
Georgia,2020,1.05,2021,1.05
Germany,2020,1.0547,2021,1.0547
Ghana,2020,1.03,2021,1.03
Gibraltar,2020,1.0714,2021,1.0725
Greece,2020,1.064,2021,1.064
Greenland,2020,1.053,2021,1.0537
Grenada,2020,1.098,2021,1.0973
Guam,2020,1.0683,2021,1.0685
Guatemala,2020,1.05,2021,1.05
Guernsey,2020,1.0498,2021,1.0498
Guinea,2020,1.03,2021,1.03
