country_name,year (2020),sex_ratio_at_birth (2020),,,country_name,year (2021),sex_ratio_at_birth (2021),,Min SRB 2020,Min SRB 2021
Aruba,2020,1.021,,,Aruba,2021,1.0196,,1.011,1.011
Antigua and Barbuda,2020,1.0501,,,Antigua and Barbuda,2021,1.0497,,Haiti,Haiti
United Arab Emirates,2020,1.0596,,,United Arab Emirates,2021,1.0596,,Max SRB,Max SRB
Afghanistan,2020,1.05,,,Afghanistan,2021,1.05,,1.2556,1.2541
Algeria,2020,1.0524,,,Algeria,2021,1.0524,,Liechtenstein,Liechtenstein
Azerbaijan,2020,1.059,,,Azerbaijan,2021,1.059,,,
Albania,2020,1.08,,,Albania,2021,1.076,,,
Armenia,2020,1.0954,,,Armenia,2021,1.0883,,,
Andorra,2020,1.0657,,,Andorra,2021,1.0664,,,
Angola,2020,1.03,,,Angola,2021,1.03,,,
American Samoa,2020,1.0609,,,American Samoa,2021,1.0605,,,
Argentina,2020,1.066,,,Argentina,2021,1.066,,,
Australia,2020,1.055,,,Australia,2021,1.055,,,
Austria,2020,1.053,,,Austria,2021,1.053,,,
Anguilla,2020,1.0275,,,Anguilla,2021,1.0273,,,
Bahrain,2020,1.0271,,,Bahrain,2021,1.0271,,,
Barbados,2020,1.0121,,,Barbados,2021,1.0116,,,
Botswana,2020,1.03,,,Botswana,2021,1.03,,,
Bermuda,2020,1.0175,,,Bermuda,2021,1.0175,,,
Belgium,2020,1.049,,,Belgium,2021,1.049,,,
"Bahamas, The",2020,1.0305,,,"Bahamas, The",2021,1.0298,,,
Bangladesh,2020,1.04,,,Bangladesh,2021,1.04,,,
Belize,2020,1.0502,,,Belize,2021,1.0501,,,
Bosnia and Herzegovina,2020,1.072,,,Bosnia and Herzegovina,2021,1.072,,,
Bolivia,2020,1.05,,,Bolivia,2021,1.05,,,
Burma,2020,1.06,,,Burma,2021,1.06,,,
Benin,2020,1.05,,,Benin,2021,1.05,,,
Belarus,2020,1.06,,,Belarus,2021,1.06,,,
Solomon Islands,2020,1.05,,,Solomon Islands,2021,1.0501,,,
Brazil,2020,1.05,,,Brazil,2021,1.05,,,
Bhutan,2020,1.05,,,Bhutan,2021,1.0499,,,
Bulgaria,2020,1.062,,,Bulgaria,2021,1.062,,,
Brunei,2020,1.047,,,Brunei,2021,1.047,,,
Burundi,2020,1.03,,,Burundi,2021,1.03,,,
Canada,2020,1.0563,,,Canada,2021,1.0563,,,
Cambodia,2020,1.045,,,Cambodia,2021,1.045,,,
Chad,2020,1.04,,,Chad,2021,1.04,,,
Sri Lanka,2020,1.04,,,Sri Lanka,2021,1.04,,,
Congo (Brazzaville),2020,1.03,,,Congo (Brazzaville),2021,1.03,,,
Congo (Kinshasa),2020,1.03,,,Congo (Kinshasa),2021,1.03,,,
China,2020,1.113,,,China,2021,1.1064,,,
Chile,2020,1.0425,,,Chile,2021,1.0425,,,
Cayman Islands,2020,1.0165,,,Cayman Islands,2021,1.0163,,,
Cameroon,2020,1.03,,,Cameroon,2021,1.03,,,
Comoros,2020,1.03,,,Comoros,2021,1.03,,,
Colombia,2020,1.06,,,Colombia,2021,1.06,,,
Northern Mariana Islands,2020,1.1648,,,Northern Mariana Islands,2021,1.1657,,,
Costa Rica,2020,1.05,,,Costa Rica,2021,1.05,,,
Central African Republic,2020,1.03,,,Central African Republic,2021,1.03,,,
Cuba,2020,1.06,,,Cuba,2021,1.06,,,
Cabo Verde,2020,1.03,,,Cabo Verde,2021,1.0301,,,
Cook Islands,2020,1.0545,,,Cook Islands,2021,1.0566,,,
Cyprus,2020,1.0501,,,Cyprus,2021,1.05,,,
Denmark,2020,1.0653,,,Denmark,2021,1.0653,,,
Djibouti,2020,1.0299,,,Djibouti,2021,1.03,,,
Dominica,2020,1.0495,,,Dominica,2021,1.0484,,,
Dominican Republic,2020,1.04,,,Dominican Republic,2021,1.04,,,
Ecuador,2020,1.05,,,Ecuador,2021,1.05,,,
Egypt,2020,1.0643,,,Egypt,2021,1.0643,,,
