country_name,year (2020),total_fertility_rate (2020),,,country_name,year (2021),total_fertility_rate (2021),,Min rate 2020,Min rate 2021
Aruba,2020,1.8292,,,Aruba,2021,1.8276,,0.8652,0.8763
Antigua and Barbuda,2020,1.9725,,,Antigua and Barbuda,2021,1.9634,,Singapore,Singapore
United Arab Emirates,2020,1.7255,,,United Arab Emirates,2021,1.7179,,,
Azerbaijan,2020,1.8763,,,Azerbaijan,2021,1.8705,,,
Albania,2020,1.5293,,,Albania,2021,1.535,,,
Armenia,2020,1.6467,,,Armenia,2021,1.6484,,,
Andorra,2020,1.4293,,,Andorra,2021,1.4384,,,
Australia,2020,1.7628,,,Australia,2021,1.7596,,,
Austria,2020,1.4929,,,Austria,2021,1.4998,,,
Anguilla,2020,1.7403,,,Anguilla,2021,1.739,,,
Bahrain,2020,1.6935,,,Bahrain,2021,1.6866,,,
Barbados,2020,1.6846,,,Barbados,2021,1.6872,,,
Bermuda,2020,1.9108,,,Bermuda,2021,1.9038,,,
Belgium,2020,1.7718,,,Belgium,2021,1.7694,,,
"Bahamas, The",2020,1.9219,,,"Bahamas, The",2021,1.9148,,,
Bosnia and Herzegovina,2020,1.3334,,,Bosnia and Herzegovina,2021,1.3456,,,
Burma,2020,2.07,,,Burma,2021,2.046,,,
Belarus,2020,1.4997,,,Belarus,2021,1.5055,,,
Brazil,2020,1.73,,,Brazil,2021,1.726,,,
Bhutan,2020,1.82,,,Bhutan,2021,1.8,,,
Bulgaria,2020,1.4859,,,Bulgaria,2021,1.493,,,
Brunei,2020,1.75,,,Brunei,2021,1.746,,,
Canada,2020,1.6093,,,Canada,2021,1.6123,,,
Sri Lanka,2020,2.0119,,,Sri Lanka,2021,1.9972,,,
China,2020,1.6,,,China,2021,1.6,,,
Chile,2020,1.77,,,Chile,2021,1.764,,,
Cayman Islands,2020,1.8333,,,Cayman Islands,2021,1.8289,,,
Colombia,2020,1.94,,,Colombia,2021,1.926,,,
Costa Rica,2020,1.8739,,,Costa Rica,2021,1.8681,,,
Cuba,2020,1.7096,,,Cuba,2021,1.7093,,,
Cyprus,2020,1.4761,,,Cyprus,2021,1.479,,,
Denmark,2020,1.777,,,Denmark,2021,1.7744,,,
Dominica,2020,2.02,,,Dominica,2021,2.018,,,
Ecuador,2020,2.09,,,Ecuador,2021,2.066,,,
Ireland,2020,1.9356,,,Ireland,2021,1.9261,,,
Estonia,2020,1.608,,,Estonia,2021,1.6111,,,
El Salvador,2020,1.8,,,El Salvador,2021,1.79,,,
Czechia,2020,1.477,,,Czechia,2021,1.4857,,,
Finland,2020,1.743,,,Finland,2021,1.7416,,,
French Polynesia,2020,1.83,,,French Polynesia,2021,1.82,,,
France,2020,2.0556,,,France,2021,2.0451,,,
Georgia,2020,1.7547,,,Georgia,2021,1.7529,,,
Gibraltar,2020,1.8969,,,Gibraltar,2021,1.8808,,,
Grenada,2020,1.96,,,Grenada,2021,1.946,,,
Guernsey,2020,1.5739,,,Guernsey,2021,1.5781,,,
