country_name , year (2020),total_fertility_rate (2020),year (2021),total_fertility_rate (2021)
Afghanistan,2020,4.82,2021,4.72
Algeria,2020,2.5852,2021,2.5455
American Samoa,2020,2.35,2021,2.278
Angola,2020,5.9618,2021,5.8955
Argentina,2020,2.21,2021,2.196
Bangladesh,2020,2.11,2021,2.1
Belize,2020,2.7,2021,2.662
Benin,2020,4.49,2021,4.404
Bolivia,2020,2.48,2021,2.446
Botswana,2020,2.45,2021,2.422
Burkina Faso,2020,4.51,2021,4.388
Burma,2020,2.07,2021,2.046
Burundi,2020,5.83,2021,5.774
Cabo Verde,2020,2.16,2021,2.144
Cambodia,2020,2.39,2021,2.362
Cameroon,2020,4.46,2021,4.4
Central African Republic,2020,4.14,2021,4.09
Chad,2020,5.68,2021,5.57
Comoros,2020,2.95,2021,2.864
Congo (Brazzaville),2020,4.45,2021,4.406
Congo (Kinshasa),2020,3.99,2021,3.878
Cook Islands,2020,2.12,2021,2.108
Cote d'Ivoire,2020,3.67,2021,3.602
Djibouti,2020,2.1899,2021,2.1697
Dominica,2020,2.02,2021,2.018
Dominican Republic,2020,2.24,2021,2.226
Ecuador,2020,2.09,2021,2.066
Egypt,2020,3.29,2021,3.234
Equatorial Guinea,2020,4.11,2021,4.022
Eritrea,2020,3.73,2021,3.654
Eswatini,2020,2.52,2021,2.482
Ethiopia,2020,4.75,2021,4.67
Faroe Islands,2020,2.313,2021,2.3015
Fiji,2020,2.31,2021,2.284
France,2020,2.0556,2021,2.0451
Gabon,2020,3.41,2021,3.36
"Gambia, The",2020,3.2099,2021,3.1302
Gaza Strip,2020,3.64,2021,3.54
Ghana,2020,3.9,2021,3.864
Guam,2020,2.84,2021,2.812
Guatemala,2020,2.72,2021,2.67
Guinea,2020,4.92,2021,4.886
Guinea-Bissau,2020,4.75,2021,4.718
Haiti,2020,2.52,2021,2.476
Honduras,2020,2.5,2021,2.462
India,2020,2.35,2021,2.33
Indonesia,2020,2.04,2021,2.024
Iraq,2020,3.82,2021,3.762
Israel,2020,2.59,2021,2.574
Jamaica,2020,2.07,2021,2.064
Jordan,2020,3.04,2021,2.998
Kazakhstan,2020,2.16,2021,2.134
Kenya,2020,2.57,2021,2.4867
Kiribati,2020,2.25,2021,2.226
Kuwait,2020,2.2596,2021,2.2455
Kyrgyzstan,2020,2.54,2021,2.518
Laos,2020,2.53,2021,2.492
Lesotho,2020,2.5001,2021,2.4699
Liberia,2020,4.9,2021,4.844
Libya,2020,2.02,2021,2.016
Madagascar,2020,3.78,2021,3.702
Malawi,2020,5.3143,2021,5.2571
Malaysia,2020,2.43,2021,2.41
Mali,2020,5.72,2021,5.63
Marshall Islands,2020,2.86,2021,2.812
Mauritania,2020,3.65,2021,3.588
Mexico,2020,2.1895,2021,2.1732
"Micronesia, Federated States of",2020,2.29,2021,2.266
Morocco,2020,2.07,2021,2.064
Mozambique,2020,4.895,2021,4.832
Namibia,2020,3.07,2021,3.026
Nauru,2020,2.68,2021,2.648
Niger,2020,6.08,2021,5.944
Nigeria,2020,4.72,2021,4.654
Northern Mariana Islands,2020,2.6968,2021,2.6636
Oman,2020,2.7622,2021,2.7324
Pakistan,2020,2.42,2021,2.382
Panama,2020,2.23,2021,2.208
Papua New Guinea,2020,2.84,2021,2.79
Peru,2020,2.04,2021,2.02
Philippines,2020,2.92,2021,2.892
Rwanda,2020,3.52,2021,3.424
Samoa,2020,2.5003,2021,2.4577
Sao Tome and Principe,2020,3.82,2021,3.692
Senegal,2020,4.04,2021,3.97
Sierra Leone,2020,4.62,2021,4.5839
Sint Maarten,2020,2.0153,2021,2.0048
Solomon Islands,2020,2.97,2021,2.92
Somalia,2020,5.51,2021,5.4119
South Africa,2020,2.22,2021,2.202
South Sudan,2020,5.5383,2021,5.4267
Sri Lanka,2020,2.0119,2021,2.77
Sudan,2020,4.7246,2021,4.6617
Syria,2020,2.34,2021,2.308
Tajikistan,2020,2.51,2021,2.48
Tanzania,2020,4.59,2021,4.532
Timor-Leste,2020,4.4401,2021,4.324
Togo,2020,4.22,2021,4.172
Tonga,2020,2.87,2021,2.814
Tunisia,2020,2.06,2021,2.028
Turkmenistan,2020,2.04,2021,2.036
Tuvalu,2020,2.88,2021,2.856
Uganda,2020,5.44,2021,5.346
Vanuatu,2020,2.79,2021,2.724
Venezuela,2020,2.26,2021,2.24
"Virgin Islands, U.S.",2020,2.03,2021,2.014
West Bank,2020,3.07,2021,3.016
Western Sahara,2020,3.65,2021,3.588
Yemen,2020,3.2,2021,3.104
Zambia,2020,5.49,2021,5.44
Zimbabwe,2020,3.93,2021,3.912
